file_name,transcript,duration
-1048072287253840944.wav, Wie ist das Wetter?,1.1362020000233315
-1356008374084030485.wav, The bottom is this.,0.7280282999854535
-1721791279923706343.wav, Nächster Glied,0.7467033000430092
-1804266037657434956.wav, Schalten die Schreibtisch Lampere an.,0.8578672000439838
-1989279303727964264.wav,さあ今つは徨く文字だねちょー!動画аласьがねぇ Mary,3.881121799990069
-2254295960242588415.wav, And promises,2.5116413000505418
-2356375025016486621.wav, magn 물론 gem realizing,4.881955400051083
-2650545123439545563.wav," Spieler, meine Playlist, gut weibst.",0.8323032000334933
-2885922673739509265.wav, Spielem Musik von George S. Rahn.,0.8028277999837883
-3054160188261298530.wav, The bottom is this,0.6865352999884635
-3140345446509399723.wav, Schalt sich schreibtisch lang für An.,0.7918842999497429
-3255535706884190802.wav, The badmouth does,2.625617100042291
-3260110239883201105.wav, Scheinte die Naselampe aus.,0.8506723999744281
-3458784527839994859.wav, Sie sollen das staffing werden!,2.87621560000116
-3505675475793140759.wav, Meستatministerian,2.8912664000527
-3628841099932294804.wav, Stop.,0.6767248000251129
-3720632875834678692.wav," Vod must definitely cherish this. Our recent videos, week in October will dochures the same world sharing Lauren with Sicho's representative Richard Mecharins who will conduct a video with W 스텐",3.652848099998664
-3816373869755305672.wav, Spiele Musik von George S.R.,0.7781663000350818
-3915647696684559715.wav, Spiele Tom Misch,1.1179146000067703
-3919755180620350935.wav, My Mom is First,2.6914128999924287
-4114479011575402682.wav,现在白环汇酸孤门的接早,4.12596289999783
-4365617956290164931.wav, Stop,0.6350384000106715
-4382517413666015129.wav,,4.973227099981159
-4664780067108594103.wav, Lautstärke 50 Prozent,0.7376091000041924
-5427852797491776973.wav, A Lot A Lotika,11.337256000027992
-5627124473825586219.wav, We bomb is this,0.6805426999926567
-57146584618704176.wav," Nachte Hell,'T记apon?",2.792161799967289
-6295370598187156927.wav, Spiele Musik von George S.A.,0.7888844999833964
-6395150946001331075.wav, Stelle ein Timer auf 3 Minuten,0.8156214999617077
